what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.500.v20140512-1221,"org.eclipse.ui.views.log",1422656511147
started,bundle,org.eclipse.wst.sse.core,1.1.900.v201401101615,"org.eclipse.wst.sse.core",1422656511147
started,bundle,org.eclipse.wst.sse.ui,1.3.300.v201404240319,"org.eclipse.wst.sse.ui",1422656511151
started,bundle,org.eclipse.core.resources.semantic,0.6.3.v20140217-2212,"org.eclipse.core.resources.semantic",1422656511152
started,bundle,org.eclipse.e4.tools.context.spy,0.1.0.v20140708-1626,"org.eclipse.e4.tools.context.spy",1422656511153
started,bundle,org.eclipse.e4.tools.css.editor,0.12.0.v20140221-1650,"org.eclipse.e4.tools.css.editor",1422656511154
started,bundle,org.eclipse.e4.tools.css.editor.ui,0.12.0.v20140221-1650,"org.eclipse.e4.tools.css.editor.ui",1422656511155
started,bundle,org.eclipse.e4.tools.css.spy,0.12.0.v20140707-1917,"org.eclipse.e4.tools.css.spy",1422656511156
started,bundle,org.eclipse.e4.tools.emf.editor3x,0.12.0.v20140726-0138,"org.eclipse.e4.tools.emf.editor3x",1422656511157
started,bundle,org.eclipse.e4.tools.emf.liveeditor,0.12.0.v20140716-1614,"org.eclipse.e4.tools.emf.liveeditor",1422656511158
started,bundle,org.eclipse.e4.tools.emf.ui,0.12.0.v20140728-1808,"org.eclipse.e4.tools.emf.ui",1422656511158
started,bundle,org.eclipse.e4.tools.event.spy,0.15.0.v20140707-1917,"org.eclipse.e4.tools.event.spy",1422656511159
started,bundle,org.eclipse.e4.tools.services,0.12.0.v20140318-2103,"org.eclipse.e4.tools.services",1422656511160
started,bundle,org.eclipse.e4.tools.spy,0.1.0.v20140529-0919,"org.eclipse.e4.tools.spy",1422656511160
started,bundle,org.eclipse.emf.common,2.10.0.v20140514-1158,"org.eclipse.emf.common",1422656511160
started,bundle,org.eclipse.emf.edit,2.10.0.v20140519-0339,"org.eclipse.emf.edit",1422656511161
started,bundle,org.eclipse.jdt.core,3.10.0.v20140604-1726,"org.eclipse.jdt.core",1422656511163
started,bundle,org.eclipse.jdt.launching,3.7.100.v20140428-1912,"org.eclipse.jdt.launching",1422656511164
started,bundle,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui",1422656511164
started,bundle,org.eclipse.platform.discovery.compatibility,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.compatibility",1422656511164
started,bundle,org.eclipse.platform.discovery.core,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.core",1422656511165
started,bundle,org.eclipse.platform.discovery.destprefs,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.destprefs",1422656511165
started,bundle,org.eclipse.platform.discovery.integration,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.integration",1422656511166
started,bundle,org.eclipse.platform.discovery.ui,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.ui",1422656511166
started,bundle,org.eclipse.platform.discovery.util,0.11.0.v20140117-1516,"org.eclipse.platform.discovery.util",1422656511167
started,bundle,org.eclipse.ui.resources.semantic,0.6.1.v20140117-1517,"org.eclipse.ui.resources.semantic",1422656511168
started,bundle,org.eclipse.xtext,2.7.3.v201411190455,"org.eclipse.xtext",1422656511168
started,bundle,org.eclipse.xtext.builder,2.7.3.v201411190455,"org.eclipse.xtext.builder",1422656511169
started,bundle,org.eclipse.xtext.common.types,2.7.3.v201411190455,"org.eclipse.xtext.common.types",1422656511170
started,bundle,org.eclipse.xtext.common.types.shared,2.7.3.v201411190455,"org.eclipse.xtext.common.types.shared",1422656511174
started,bundle,org.eclipse.xtext.ui,2.7.3.v201411190455,"org.eclipse.xtext.ui",1422656511174
started,bundle,org.eclipse.xtext.ui.codetemplates.ui,2.7.3.v201411190455,"org.eclipse.xtext.ui.codetemplates.ui",1422656511176
started,bundle,org.eclipse.xtext.ui.shared,2.7.3.v201411190455,"org.eclipse.xtext.ui.shared",1422656511177
os,sysinfo,,,"win32",1422656511183
arch,sysinfo,,,"x86_64",1422656511183
ws,sysinfo,,,"win32",1422656511183
locale,sysinfo,,,"en_US",1422656511183
processors,sysinfo,,,"4",1422656511183
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422656511183
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1422656511183
java.specification.name,sysinfo,,,"Java Platform API Specification",1422656511183
java.specification.vendor,sysinfo,,,"Oracle Corporation",1422656511183
java.specification.version,sysinfo,,,"1.8",1422656511183
java.vendor,sysinfo,,,"Oracle Corporation",1422656511183
java.version,sysinfo,,,"1.8.0_25",1422656511183
java.vm.info,sysinfo,,,"mixed mode",1422656511183
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1422656511183
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422656511183
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1422656511183
java.vm.specification.version,sysinfo,,,"1.8",1422656511183
java.vm.vendor,sysinfo,,,"Oracle Corporation",1422656511183
java.vm.version,sysinfo,,,"25.25-b02",1422656511183
started,bundle,org.eclipse.core.variables,3.2.800.v20130819-1716,"org.eclipse.core.variables",1422656514242
started,bundle,org.eclipse.jdt.debug,3.8.100.v20140522-1618,"org.eclipse.jdt.debug",1422656517664
started,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1422656517827
activated,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422656517902
started,bundle,org.eclipse.ui.navigator,3.5.400.v20140210-1835,"org.eclipse.ui.navigator",1422656517949
started,bundle,org.eclipse.jdt.junit,3.7.300.v20140418-0836,"org.eclipse.jdt.junit",1422656520711
started,bundle,org.eclipse.pde.api.tools,1.0.600.v20140520-1809,"org.eclipse.pde.api.tools",1422656521317
started,bundle,org.eclipse.pde.api.tools.ui,1.0.501.v20140808-0849,"org.eclipse.pde.api.tools.ui",1422656521373
activated,view,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.PackageExplorer",1422656536535
activated,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422656542020
started,bundle,org.eclipse.compare,3.5.500.v20131106-1552,"org.eclipse.compare",1422656542920
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422656568194
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422656570473
deactivated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422656570663
activated,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422656573032
closed,view,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.PackageExplorer",1422656573192
closed,view,org.eclipse.mylyn.tasks.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1422656573270
closed,view,org.eclipse.ui.views,3.7.0.v20140408-0703,"org.eclipse.ui.views.ContentOutline",1422656573313
closed,view,org.eclipse.ui.ide,3.10.0.v20140521-1937,"org.eclipse.ui.views.ProblemView",1422656573500
closed,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1422656573515
closed,editor,org.eclipse.jdt.ui,3.10.0.v20140604-1403,"org.eclipse.jdt.ui.CompilationUnitEditor",1422656573556
